year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2007,48,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
2004,23,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.072641176275391
2009,34,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.526406916701627
2004,43,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.5467412584381
2006,55,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.540568440841363
2007,59,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.410949763632562
2007,60,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.040747290056442
2009,49,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.24222759195219
2006,45,2. Married,3. Asian,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8750612633917
2006,31,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.7971582064752227
2004,34,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.8239661973773
2005,26,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424
2007,22,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.383965272692362
2004,40,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.445341947967754
2009,41,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602
2006,36,1. Never Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.57978359661681
2007,38,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.13353890837022
2003,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.500231461280037
2006,47,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.90308998699194
2005,47,5. Separated,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.11394335230684
2007,35,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.891934583994247
2008,49,2. Married,3. Asian,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.077565165360302
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602
2004,32,3. Widowed,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.675567834349981
2008,57,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.262999504943167
2008,56,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.944864994062223
2009,73,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.50514997831991
2007,29,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.478198259405389
2003,49,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.90308998699194
2009,30,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.792981043114182
2008,29,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.64544803824499
2004,36,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.55630250076729
2009,39,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.05307844348342
2007,48,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.724169407906494
2006,45,2. Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.671037864115532
2004,50,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.8809451397572894
2003,42,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,3.3684678069277374
2007,58,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.77815125038364
2007,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.685383645352372
2003,48,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.840674946483406
2005,45,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2007,41,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.70757017609794
2008,27,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50850686067054
2004,44,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.562188687161854
2003,32,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.714680104702857
2006,46,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2005,52,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.8031419856545714
2003,22,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.77815125038364
2004,53,3. Widowed,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.641853621560514
2008,34,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.77815125038364
2009,38,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.985171895263208
2009,42,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6232492903979
2005,25,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028
2004,29,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.46239799789896
2005,28,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2005,46,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.265079628299262
2007,55,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2004,56,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.731763201842512
2005,41,4. Divorced,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.133301007931259
2009,61,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.17609125905568
2003,47,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.167944542040717
2006,52,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222
2004,27,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.367443298232365
2007,33,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.49136169383427
2003,58,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.227815020969453
2005,27,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.842620710913054
2009,52,5. Separated,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.444069660289867
2003,45,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.7160033436348
2003,22,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.241109775043759
2005,25,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204
2004,25,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.197298644418916
2005,41,2. Married,2. Black,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8750612633917
2006,54,5. Separated,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.830472260657383
2007,23,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.357280537720387
2006,36,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.14612803567824
2004,31,5. Separated,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.54406804435028
2006,52,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.457528325381585
2007,46,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.078036916442132
2007,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.789959418283212
2009,40,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.660429431056906
2004,33,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.578733718431609
2007,42,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.793279080820348
2007,41,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.757774683218027
2007,25,1. Never Married,4. Other,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.511041934234464
2005,24,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.175975680730665
2006,24,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364
2008,51,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.26422857426611
2004,41,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.999478450482868
2009,42,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.58385063729835
2005,30,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.323572458108782
2009,55,2. Married,3. Asian,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4
2008,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.400169185253607
2003,60,4. Divorced,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.378999412350154
2003,40,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2008,41,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7321804071659574
2003,80,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.103330819662841
2005,53,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.458118909942999
2004,40,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.326962532722978
2009,35,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.92348752840002
2009,55,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.32221929473392
2008,24,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.286435854585455
2007,39,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.194409858904553
2003,30,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.55630250076729
2005,68,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.5720823710224705
2004,54,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.665192467733519
2008,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.2919302215908015
2005,34,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.995743026226082
2004,53,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.84509804001426
2004,48,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.44715803134222
2005,59,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.259230517159777
2004,30,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364
2007,45,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.09691001300806
2007,39,2. Married,4. Other,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.779136441341676
2008,45,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.6079633065016905
2007,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.64100585131578
2003,30,1. Never Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.92941892571429
2005,57,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.2114938951950345
2004,53,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.800965185451555
2009,42,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.219198569944862
2005,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.523347239548419
2009,58,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.277942749138531
2005,43,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.97772360528885
2003,33,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.79239168949825
2004,56,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.576026476897058
2006,37,2. Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.773860256876195
2009,41,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.6534054906645
2007,33,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.53147891704226
2007,50,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.83884909073726
2003,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.25527250510331
2004,53,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.890745468271641
2005,37,3. Widowed,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.47712125471966
2006,20,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.07918124604763
2003,26,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.30102999566398
2003,29,4. Divorced,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.41709754442876
2008,57,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.816144857501956
2009,47,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.02118929906994
2004,54,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.60688524128857
2007,38,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.57978359661681
2006,23,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.2211533219547
2004,31,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.783611711963749
2004,43,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.60688524128857
2003,33,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.7160033436348
2004,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.829640322124235
2008,33,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.753252308903842
2009,52,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.620986149260865
2008,30,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.24551266781415
2004,44,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.450716684983806
2004,38,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.982411677289721
2008,51,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.029153775105348
2007,47,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.14612803567824
2005,28,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.8142616140938035
2004,52,4. Divorced,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7481880270062
2004,23,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.27875360095283
2003,65,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398
2005,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.653183967613044
2004,33,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.04139268515822
2008,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.446232736636825
2008,27,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.63346845557959
2008,48,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.626139784892899
2005,38,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.57978359661681
2008,58,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.65321251377534
2003,40,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.7481880270062
2007,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.708003311098414
2009,53,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.81291335664286
2009,25,1. Never Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2003,42,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.56820172406699
2004,40,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.771313569920248
2006,35,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.0880909482237335
